maintenance_id,bike_id,maintenance_date,maintenance_type,cost
5094,1069,2025-04-24,flat_tire,21.53
5095,1093,2025-04-24,wheel_true,39.04
5096,1121,2025-04-26,chain_replacement,37.43
5097,1204,2025-04-26,chain_replacement,33.01
5098,1177,2025-04-27,brake_adjustment,15.40
5099,1150,2025-04-28,flat_tire,18.33
5100,1220,2025-04-28,tune_up,59.43
5101,1075,2025-04-29,brake_adjustment,17.47
5102,1213,2025-04-29,tune_up,53.87
5103,1208,2025-04-30,brake_adjustment,19.86
5104,1183,2025-05-01,flat_tire,13.72
5105,1216,2025-05-01,brake_adjustment,19.14
5106,1003,2025-05-03,wheel_true,34.07
5107,1018,2025-05-04,brake_adjustment,21.78
5108,1104,2025-05-04,chain_replacement,43.05
5109,1157,2025-05-07,flat_tire,23.30
5110,1176,2025-05-07,wheel_true,38.61
5111,1072,2025-05-08,battery_service,110.53
5112,1232,2025-05-09,tune_up,69.57
5113,1201,2025-05-10,wheel_true,23.47
5114,1005,2025-05-11,chain_replacement,47.12
5115,1208,2025-05-12,chain_replacement,37.57
5116,1133,2025-05-13,tune_up,56.00
5117,1128,2025-05-15,wheel_true,31.10
5118,1208,2025-05-15,brake_adjustment,27.73
5119,1046,2025-05-18,tune_up,63.20
5120,1112,2025-05-18,chain_replacement,53.14
5121,1055,2025-05-20,chain_replacement,30.57
5122,1192,2025-05-20,flat_tire,18.46
5123,1206,2025-05-20,tune_up,49.59
5124,1012,2025-05-21,brake_adjustment,22.69
5125,1031,2025-05-21,flat_tire,22.30
5126,1245,2025-05-22,brake_adjustment,25.32
5127,1175,2025-05-24,tune_up,62.57
5128,1206,2025-05-27,brake_adjustment,15.17
5129,1031,2025-05-28,flat_tire,13.96
5130,1196,2025-05-29,tune_up,68.80
5131,1048,2025-05-30,wheel_true,30.04
5132,1194,2025-05-30,flat_tire,15.72
5133,1157,2025-06-02,flat_tire,21.59
5134,1222,2025-06-02,chain_replacement,44.32
5135,1179,2025-06-05,tune_up,53.47
5136,1061,2025-06-10,wheel_true,31.79
5137,1062,2025-06-12,tune_up,49.97
5138,1118,2025-06-12,wheel_true,25.32
5139,1010,2025-06-14,tune_up,50.09
5140,1233,2025-06-14,wheel_true,37.67
5141,1086,2025-06-17,flat_tire,20.08
5142,1028,2025-06-19,chain_replacement,32.24
5143,1049,2025-06-19,tune_up,41.81
5144,1193,2025-06-19,wheel_true,35.94
5145,1074,2025-06-20,flat_tire,20.64
5146,1193,2025-06-20,wheel_true,21.74
5147,1084,2025-06-22,flat_tire,21.43
5148,1201,2025-06-22,tune_up,40.63
5149,1281,2025-06-22,brake_adjustment,19.35
5150,1260,2025-06-23,brake_adjustment,17.95
5151,1113,2025-06-25,tune_up,58.86
5152,1269,2025-06-26,flat_tire,24.34
5153,1136,2025-06-27,flat_tire,16.34
5154,1101,2025-06-28,flat_tire,22.10
5155,1233,2025-06-28,flat_tire,16.56
5156,1279,2025-06-29,tune_up,71.01
5157,1067,2025-06-30,battery_service,93.87
5158,1272,2025-06-30,wheel_true,32.13
5159,1054,2025-07-01,battery_service,84.39
5160,1213,2025-07-02,chain_replacement,49.91
5161,1248,2025-07-03,chain_replacement,47.73
5162,1175,2025-07-04,tune_up,67.77
5163,1046,2025-07-05,flat_tire,15.39
5164,1227,2025-07-05,flat_tire,12.57
5165,1209,2025-07-06,chain_replacement,28.70
5166,1194,2025-07-07,chain_replacement,44.04
5167,1280,2025-07-10,chain_replacement,47.00
5168,1050,2025-07-12,flat_tire,19.21
5169,1188,2025-07-12,chain_replacement,33.37
5170,1246,2025-07-12,tune_up,65.66
5171,1276,2025-07-12,flat_tire,17.59
5172,1248,2025-07-13,brake_adjustment,16.66
5173,1099,2025-07-14,tune_up,59.42
5174,1116,2025-07-15,brake_adjustment,17.24
5175,1032,2025-07-17,tune_up,41.71
5176,1078,2025-07-17,flat_tire,21.19
5177,1175,2025-07-17,tune_up,47.23
5178,1219,2025-07-18,flat_tire,20.64
5179,1281,2025-07-18,brake_adjustment,26.55
5180,1072,2025-07-21,chain_replacement,42.69
5181,1077,2025-07-21,wheel_true,32.31
5182,1246,2025-07-22,wheel_true,21.33
5183,1247,2025-07-22,brake_adjustment,19.96
5184,1034,2025-07-23,wheel_true,21.90
5185,1139,2025-07-23,tune_up,74.65
5186,1233,2025-07-24,brake_adjustment,19.63
5187,1257,2025-07-24,brake_adjustment,28.43
5188,1044,2025-07-26,flat_tire,19.55
5189,1233,2025-07-27,wheel_true,34.97
5190,1258,2025-07-27,brake_adjustment,20.27
5191,1258,2025-07-28,chain_replacement,46.38
5192,1259,2025-07-28,tune_up,42.83
5193,1050,2025-07-31,wheel_true,24.15
5194,1068,2025-08-01,brake_adjustment,15.55
5195,1237,2025-08-01,brake_adjustment,25.39
5196,1283,2025-08-02,battery_service,84.04
5197,1033,2025-08-04,tune_up,57.22
5198,1277,2025-08-04,tune_up,42.21
5199,1200,2025-08-05,tune_up,43.94
5200,1091,2025-08-06,tune_up,45.34
5201,1158,2025-08-06,chain_replacement,48.21
5202,1195,2025-08-07,brake_adjustment,23.73
5203,1216,2025-08-08,flat_tire,20.97
5204,1063,2025-08-09,wheel_true,27.83
5205,1132,2025-08-09,battery_service,100.67
5206,1145,2025-08-09,tune_up,58.53
5207,1199,2025-08-09,chain_replacement,29.52
5208,1282,2025-08-09,wheel_true,21.55
5209,1262,2025-08-12,flat_tire,19.26
5210,1066,2025-08-13,chain_replacement,47.63
5211,1090,2025-08-13,chain_replacement,51.64
5212,1117,2025-08-13,wheel_true,31.48
5213,1013,2025-08-14,brake_adjustment,21.02
5214,1207,2025-08-14,brake_adjustment,29.97
5215,1190,2025-08-15,brake_adjustment,28.41
5216,1065,2025-08-18,flat_tire,12.04
5217,1283,2025-08-18,brake_adjustment,29.39
5218,1238,2025-08-20,brake_adjustment,26.91
5219,1085,2025-08-21,chain_replacement,43.28
5220,1221,2025-08-21,chain_replacement,45.80
5221,1223,2025-08-21,wheel_true,34.86
5222,1119,2025-08-23,flat_tire,24.28
5223,1120,2025-08-25,wheel_true,32.70
5224,1157,2025-08-25,chain_replacement,37.77
5225,1013,2025-08-26,brake_adjustment,22.14
5226,1101,2025-08-27,brake_adjustment,26.85
5227,1120,2025-08-27,tune_up,62.07
5228,1047,2025-08-31,chain_replacement,31.16
5229,1208,2025-09-03,brake_adjustment,20.88
5230,1024,2025-09-05,chain_replacement,39.09
5231,1093,2025-09-05,chain_replacement,35.73
5232,1268,2025-09-06,chain_replacement,31.72
5233,1225,2025-09-07,chain_replacement,29.88
5234,1147,2025-09-09,battery_service,96.48
5235,1153,2025-09-10,wheel_true,32.52
5236,1228,2025-09-10,flat_tire,12.70
5237,1233,2025-09-11,flat_tire,19.91
5238,1110,2025-09-13,wheel_true,36.24
5239,1278,2025-09-16,chain_replacement,50.24
5240,1096,2025-09-17,wheel_true,34.26
5241,1166,2025-09-17,chain_replacement,38.60
5242,1264,2025-09-18,chain_replacement,34.30
5243,1081,2025-09-22,chain_replacement,43.47
5244,1203,2025-09-23,flat_tire,19.45
5245,1242,2025-09-23,chain_replacement,49.40
5246,1077,2025-09-24,brake_adjustment,16.54
5247,1217,2025-09-25,flat_tire,24.35
5248,1054,2025-09-27,tune_up,73.07
5249,1044,2025-09-28,chain_replacement,48.46
5250,1131,2025-09-28,chain_replacement,53.01
5251,1082,2025-09-30,wheel_true,39.89
5252,1219,2025-09-30,chain_replacement,44.20
5253,1242,2025-09-30,battery_service,76.13
5254,1091,2025-10-03,wheel_true,24.01
5255,1103,2025-10-03,wheel_true,35.28
5256,1159,2025-10-03,tune_up,52.48
5257,1229,2025-10-03,flat_tire,20.87
5258,1087,2025-10-04,wheel_true,30.00
5259,1073,2025-10-05,flat_tire,16.62
5260,1087,2025-10-06,chain_replacement,28.05
5261,1215,2025-10-07,flat_tire,16.12
5262,1052,2025-10-08,brake_adjustment,22.19
5263,1201,2025-10-08,tune_up,73.54
5264,1278,2025-10-12,tune_up,60.60
5265,1197,2025-10-13,flat_tire,13.58
5266,1142,2025-10-16,chain_replacement,31.95
5267,1011,2025-10-17,wheel_true,36.52
5268,1152,2025-10-18,chain_replacement,29.10
5269,1207,2025-10-18,brake_adjustment,17.59
5270,1130,2025-10-19,wheel_true,38.46
5271,1206,2025-10-22,brake_adjustment,16.51
5272,1049,2025-10-24,battery_service,103.77
5273,1268,2025-10-24,tune_up,71.28
5274,1193,2025-10-25,flat_tire,23.64
5275,1012,2025-10-26,wheel_true,28.44
5276,1024,2025-10-26,flat_tire,16.89
5277,1130,2025-10-27,brake_adjustment,23.23
5278,1319,2025-10-28,flat_tire,24.41
5279,1206,2025-10-29,chain_replacement,49.46
5280,1213,2025-10-29,tune_up,70.77
5281,1161,2025-10-30,flat_tire,18.54
5282,1044,2025-10-31,wheel_true,35.09
5283,1154,2025-10-31,chain_replacement,52.80
5284,1119,2025-11-01,flat_tire,12.11
5285,1269,2025-11-01,chain_replacement,36.54
5286,1240,2025-11-03,brake_adjustment,25.43
5287,1276,2025-11-04,chain_replacement,34.50
5288,1031,2025-11-08,chain_replacement,45.93
5289,1044,2025-11-09,chain_replacement,41.73
5290,1050,2025-11-09,wheel_true,22.84
5291,1013,2025-11-10,brake_adjustment,27.44
5292,1302,2025-11-10,wheel_true,32.74
5293,1007,2025-11-11,tune_up,55.21
5294,1012,2025-11-12,chain_replacement,53.63
5295,1130,2025-11-12,brake_adjustment,23.52
5296,1290,2025-11-14,flat_tire,13.01
5297,1054,2025-11-16,flat_tire,19.52
5298,1202,2025-11-16,wheel_true,23.46
5299,1164,2025-11-17,battery_service,69.36
5300,1172,2025-11-17,chain_replacement,52.61
5301,1259,2025-11-17,wheel_true,20.71
5302,1152,2025-11-18,brake_adjustment,24.31
5303,1225,2025-11-18,tune_up,74.87
5304,1171,2025-11-19,battery_service,112.85
5305,1059,2025-11-21,flat_tire,17.04
5306,1036,2025-11-22,flat_tire,17.28
5307,1027,2025-11-23,brake_adjustment,21.85
5308,1158,2025-11-23,tune_up,53.64
5309,1254,2025-11-25,tune_up,45.84
5310,1294,2025-11-26,chain_replacement,48.36
5311,1126,2025-11-27,tune_up,41.56
5312,1279,2025-11-27,flat_tire,24.61
5313,1202,2025-11-28,flat_tire,21.02
5314,1206,2025-11-28,brake_adjustment,26.42
5315,1262,2025-11-28,tune_up,43.22
5316,1233,2025-11-29,tune_up,72.87
5317,1042,2025-11-30,tune_up,48.82
5318,1233,2025-11-30,chain_replacement,50.38
5319,1234,2025-12-02,brake_adjustment,25.25
5320,1022,2025-12-03,wheel_true,24.05
5321,1046,2025-12-03,wheel_true,33.08
5322,1248,2025-12-03,flat_tire,22.86
5323,1154,2025-12-04,flat_tire,16.15
5324,1240,2025-12-05,brake_adjustment,15.73
5325,1290,2025-12-06,brake_adjustment,17.16
5326,1038,2025-12-08,chain_replacement,31.31
5327,1083,2025-12-08,chain_replacement,49.36
5328,1242,2025-12-08,chain_replacement,49.40
5329,1126,2025-12-11,flat_tire,17.53
5330,1031,2025-12-12,chain_replacement,30.30
5331,1079,2025-12-13,tune_up,48.82
5332,1201,2025-12-13,chain_replacement,51.51
5333,1057,2025-12-14,brake_adjustment,27.71
5334,1065,2025-12-14,wheel_true,39.02
5335,1300,2025-12-14,wheel_true,23.76
5336,1239,2025-12-15,brake_adjustment,25.56
5337,1320,2025-12-15,wheel_true,39.90
5338,1165,2025-12-16,brake_adjustment,19.87
5339,1093,2025-12-17,wheel_true,37.19
5340,1072,2025-12-18,chain_replacement,39.96
5341,1006,2025-12-20,tune_up,63.70
5342,1006,2025-12-21,brake_adjustment,28.48
5343,1051,2025-12-21,brake_adjustment,18.55
5344,1305,2025-12-24,chain_replacement,30.51
5345,1035,2025-12-25,flat_tire,12.87
5346,1171,2025-12-25,flat_tire,21.57
5347,1195,2025-12-25,wheel_true,35.15
5348,1052,2025-12-27,brake_adjustment,25.68
5349,1318,2025-12-27,flat_tire,20.71
5350,1035,2025-12-30,tune_up,47.05
5351,1182,2025-12-30,tune_up,46.07
5352,1168,2025-12-31,tune_up,65.08
5353,1196,2025-12-31,chain_replacement,37.16
5354,1268,2025-12-31,wheel_true,32.48
5355,1299,2025-12-31,battery_service,111.71
5356,1202,2026-01-01,wheel_true,27.61
5357,1086,2026-01-02,brake_adjustment,18.28
5358,1248,2026-01-02,chain_replacement,30.81
5359,1266,2026-01-02,flat_tire,20.48
5360,1298,2026-01-03,wheel_true,31.09
5361,1077,2026-01-06,chain_replacement,37.93
5362,1153,2026-01-06,tune_up,41.32
5363,1038,2026-01-08,tune_up,71.46
5364,1059,2026-01-08,battery_service,104.13
5365,1317,2026-01-08,battery_service,62.76
5366,1224,2026-01-09,chain_replacement,41.21
5367,1289,2026-01-11,tune_up,73.29
5368,1162,2026-01-12,wheel_true,24.19
5369,1233,2026-01-12,flat_tire,15.90
5370,1021,2026-01-14,flat_tire,17.14
5371,1137,2026-01-14,chain_replacement,29.26
5372,1146,2026-01-15,wheel_true,27.06
5373,1151,2026-01-15,wheel_true,38.23
5374,1028,2026-01-18,brake_adjustment,21.45
5375,1278,2026-01-19,chain_replacement,29.89
5376,1241,2026-01-20,flat_tire,23.01
5377,1097,2026-01-21,tune_up,70.23
5378,1307,2026-01-21,battery_service,107.09
5379,1226,2026-01-22,wheel_true,37.95
5380,1063,2026-01-24,tune_up,74.80
5381,1280,2026-01-24,wheel_true,35.09
5382,1151,2026-01-25,battery_service,91.43
5383,1311,2026-01-25,brake_adjustment,23.64
5384,1019,2026-01-26,wheel_true,37.77
5385,1080,2026-01-27,brake_adjustment,22.12
5386,1149,2026-01-27,wheel_true,22.25
5387,1238,2026-01-27,brake_adjustment,15.77
5388,1051,2026-01-28,brake_adjustment,21.70
5389,1070,2026-01-28,flat_tire,21.42
5390,1188,2026-01-29,chain_replacement,34.53
5391,1024,2026-01-30,flat_tire,18.76
5392,1039,2026-01-30,chain_replacement,37.03
5393,1099,2026-01-30,tune_up,59.19
5394,1179,2026-01-30,flat_tire,14.79
5395,1208,2026-01-30,chain_replacement,54.06
5396,1282,2026-02-01,chain_replacement,53.17
5397,1150,2026-02-03,chain_replacement,44.54
5398,1252,2026-02-03,flat_tire,24.90
5399,1273,2026-02-03,brake_adjustment,23.26
5400,1307,2026-02-03,wheel_true,35.05
5401,1206,2026-02-05,flat_tire,14.18
5402,1014,2026-02-07,chain_replacement,42.12
5403,1297,2026-02-07,chain_replacement,49.24
5404,1024,2026-02-08,wheel_true,35.86
5405,1252,2026-02-08,chain_replacement,41.58
5406,1251,2026-02-10,brake_adjustment,18.83
5407,1001,2026-02-11,flat_tire,13.11
5408,1010,2026-02-13,chain_replacement,43.29
5409,1212,2026-02-13,tune_up,57.02
5410,1216,2026-02-13,brake_adjustment,27.31
5411,1311,2026-02-14,tune_up,42.88
5412,1263,2026-02-15,flat_tire,15.32
5413,1238,2026-02-17,battery_service,73.95
5414,1058,2026-02-18,tune_up,61.63
5415,1201,2026-02-18,battery_service,102.92
5416,1218,2026-02-18,tune_up,64.82
5417,1065,2026-02-19,flat_tire,14.71
5418,1234,2026-02-19,chain_replacement,30.67
5419,1208,2026-02-20,tune_up,40.48
5420,1110,2026-02-21,brake_adjustment,21.29
5421,1329,2026-02-21,wheel_true,25.13
5422,1347,2026-02-21,brake_adjustment,15.20
5423,1133,2026-02-22,chain_replacement,28.21
5424,1278,2026-02-22,tune_up,66.76
5425,1155,2026-02-23,flat_tire,15.86
5426,1191,2026-02-24,wheel_true,27.51
5427,1310,2026-02-24,chain_replacement,28.82
5428,1192,2026-02-26,flat_tire,13.27
5429,1299,2026-02-26,wheel_true,35.43
5430,1185,2026-02-28,wheel_true,21.22
5431,1127,2026-03-01,flat_tire,23.33
5432,1124,2026-03-02,tune_up,58.44
5433,1297,2026-03-02,chain_replacement,42.27
5434,1338,2026-03-02,flat_tire,13.69
5435,1264,2026-03-04,flat_tire,18.39
5436,1271,2026-03-04,tune_up,50.62
5437,1004,2026-03-05,flat_tire,19.68
5438,1152,2026-03-05,brake_adjustment,29.35
5439,1006,2026-03-06,brake_adjustment,24.47
5440,1079,2026-03-06,wheel_true,26.16
5441,1102,2026-03-06,wheel_true,38.31
5442,1243,2026-03-06,wheel_true,32.36
5443,1348,2026-03-06,tune_up,58.53
5444,1261,2026-03-07,brake_adjustment,17.44
5445,1321,2026-03-07,battery_service,71.93
5446,1125,2026-03-08,flat_tire,12.17
5447,1211,2026-03-08,brake_adjustment,29.38
5448,1023,2026-03-09,battery_service,114.62
5449,1024,2026-03-09,chain_replacement,36.84
5450,1315,2026-03-09,brake_adjustment,27.99
5451,1128,2026-03-10,chain_replacement,54.41
5452,1204,2026-03-10,chain_replacement,39.12
5453,1190,2026-03-11,tune_up,67.12
5454,1256,2026-03-11,tune_up,42.50
5455,1144,2026-03-12,wheel_true,32.59
5456,1285,2026-03-13,chain_replacement,53.12
5457,1301,2026-03-13,wheel_true,26.63
5458,1006,2026-03-14,brake_adjustment,25.64
5459,1083,2026-03-14,flat_tire,18.16
5460,1114,2026-03-14,chain_replacement,43.32
5461,1141,2026-03-15,flat_tire,21.87
5462,1236,2026-03-17,flat_tire,20.18
5463,1286,2026-03-17,wheel_true,26.22
5464,1074,2026-03-19,flat_tire,12.64
5465,1048,2026-03-20,tune_up,65.28
5466,1056,2026-03-20,tune_up,58.79
5467,1306,2026-03-20,brake_adjustment,18.49
5468,1327,2026-03-21,wheel_true,22.07
5469,1185,2026-03-22,tune_up,66.19
5470,1030,2026-03-23,brake_adjustment,28.21
5471,1063,2026-03-23,tune_up,74.25
5472,1281,2026-03-23,chain_replacement,32.38
5473,1019,2026-03-24,flat_tire,17.65
5474,1325,2026-03-25,battery_service,95.77
5475,1048,2026-03-27,battery_service,87.81
5476,1334,2026-03-27,wheel_true,21.06
5477,1342,2026-03-27,flat_tire,19.98
5478,1058,2026-03-29,wheel_true,24.54
5479,1066,2026-03-30,brake_adjustment,23.91
5480,1014,2026-03-31,wheel_true,38.26
5481,1064,2026-04-02,flat_tire,16.05
5482,1317,2026-04-02,brake_adjustment,21.91
5483,1222,2026-04-03,chain_replacement,37.11
5484,1100,2026-04-05,wheel_true,29.98
5485,1233,2026-04-05,flat_tire,21.13
5486,1325,2026-04-05,flat_tire,14.98
5487,1336,2026-04-05,flat_tire,14.57
5488,1274,2026-04-06,tune_up,41.24
5489,1038,2026-04-09,flat_tire,17.96
5490,1177,2026-04-09,battery_service,83.08
5491,1108,2026-04-10,brake_adjustment,24.59
5492,1348,2026-04-10,brake_adjustment,17.45
5493,1048,2026-04-11,chain_replacement,52.78
5494,1250,2026-04-11,brake_adjustment,16.66
5495,1280,2026-04-11,chain_replacement,53.51
5496,1345,2026-04-11,wheel_true,35.56
5497,1337,2026-04-12,tune_up,65.69
5498,1312,2026-04-16,brake_adjustment,29.52
5499,1011,2026-04-17,wheel_true,34.92
5500,1151,2026-04-17,tune_up,44.84
5501,1235,2026-04-17,battery_service,93.82
5502,1340,2026-04-17,battery_service,75.48
5503,1276,2026-04-18,flat_tire,16.78
5504,1316,2026-04-18,tune_up,40.77
5505,1034,2026-04-19,wheel_true,31.71
5506,1161,2026-04-19,wheel_true,34.64
5507,1256,2026-04-19,chain_replacement,40.71
5508,1135,2026-04-20,tune_up,71.13
5509,1165,2026-04-21,tune_up,71.96
5510,1274,2026-04-22,battery_service,83.92
5511,1297,2026-04-22,chain_replacement,41.52
5512,1120,2026-04-23,tune_up,49.22
5513,1216,2026-04-23,wheel_true,26.57
5514,1043,2026-04-24,battery_service,79.64
5515,1034,2026-04-26,brake_adjustment,22.70
5516,1103,2026-04-26,tune_up,41.58
5517,1347,2026-04-27,chain_replacement,44.73
5518,1144,2026-04-28,wheel_true,33.97
5519,1170,2026-04-28,chain_replacement,39.33
5520,1002,2026-04-29,tune_up,41.93
5521,1236,2026-04-29,flat_tire,12.17
5522,1284,2026-04-29,tune_up,41.99
5523,1350,2026-04-29,brake_adjustment,16.67
5524,1070,2026-04-30,brake_adjustment,28.30
5525,1070,2026-05-01,brake_adjustment,23.15
5526,1293,2026-05-01,chain_replacement,33.63
5527,1344,2026-05-01,tune_up,58.39
5528,1273,2026-05-02,chain_replacement,41.08
5529,1334,2026-05-02,flat_tire,23.35
5530,1349,2026-05-02,tune_up,69.90
5531,1013,2026-05-03,flat_tire,22.52
5532,1341,2026-05-03,brake_adjustment,17.56
5533,1116,2026-05-04,flat_tire,21.70
5534,1030,2026-05-05,tune_up,69.44
5535,1209,2026-05-05,chain_replacement,38.56
5536,1152,2026-05-07,brake_adjustment,23.08
5537,1328,2026-05-07,flat_tire,21.24
5538,1116,2026-05-08,chain_replacement,40.36
5539,1252,2026-05-09,tune_up,49.38
5540,1010,2026-05-12,wheel_true,37.71
5541,1087,2026-05-12,brake_adjustment,17.07
5542,1105,2026-05-12,brake_adjustment,29.36
5543,1217,2026-05-12,flat_tire,23.07
5544,1032,2026-05-13,chain_replacement,39.97
5545,1314,2026-05-13,flat_tire,23.91
5546,1344,2026-05-13,battery_service,67.76
5547,1163,2026-05-14,brake_adjustment,17.78
5548,1092,2026-05-15,brake_adjustment,28.88
5549,1158,2026-05-15,tune_up,45.72
5550,1204,2026-05-15,brake_adjustment,29.41
5551,1321,2026-05-16,flat_tire,21.22
5552,1101,2026-05-19,battery_service,93.79
5553,1180,2026-05-19,chain_replacement,42.85
5554,1213,2026-05-19,flat_tire,18.70
5555,1258,2026-05-19,battery_service,106.50
5556,1018,2026-05-20,tune_up,44.36
5557,1255,2026-05-20,wheel_true,32.41
5558,1257,2026-05-20,chain_replacement,53.19
5559,1072,2026-05-21,brake_adjustment,23.08
5560,1331,2026-05-22,brake_adjustment,17.59
5561,1025,2026-05-24,flat_tire,24.03
5562,1133,2026-05-25,flat_tire,14.57
5563,1335,2026-05-25,tune_up,51.94
5564,1029,2026-05-26,tune_up,53.69
5565,1169,2026-05-26,flat_tire,14.93
5566,1248,2026-05-26,tune_up,58.46
5567,1318,2026-05-27,battery_service,100.59
5568,1008,2026-05-28,battery_service,65.39
5569,1204,2026-05-28,wheel_true,24.48
5570,1173,2026-05-29,brake_adjustment,15.79
5571,1044,2026-05-31,flat_tire,20.94
5572,1026,2026-06-01,flat_tire,24.98
5573,1213,2026-06-01,brake_adjustment,25.39
5574,1028,2026-06-02,tune_up,67.72
5575,1124,2026-06-02,wheel_true,34.09
5576,1201,2026-06-02,tune_up,47.17
5577,1125,2026-06-04,battery_service,70.92
5578,1241,2026-06-04,brake_adjustment,15.89
5579,1268,2026-06-04,brake_adjustment,26.28
5580,1310,2026-06-04,flat_tire,24.90
5581,1094,2026-06-06,flat_tire,12.67
5582,1233,2026-06-06,tune_up,62.21
5583,1155,2026-06-07,flat_tire,21.93
5584,1343,2026-06-07,brake_adjustment,15.11
5585,1040,2026-06-08,flat_tire,23.95
5586,1219,2026-06-11,tune_up,61.01
5587,1227,2026-06-12,brake_adjustment,28.24
5588,1272,2026-06-13,tune_up,41.18
5589,1322,2026-06-13,brake_adjustment,25.11
5590,1341,2026-06-14,tune_up,51.46
5591,1345,2026-06-15,chain_replacement,33.20
5592,1026,2026-06-16,brake_adjustment,18.10
5593,1329,2026-06-16,battery_service,108.24
5594,1275,2026-06-17,brake_adjustment,23.24
5595,1025,2026-06-19,wheel_true,29.71
5596,1105,2026-06-19,chain_replacement,47.38
5597,1270,2026-06-19,chain_replacement,29.37
