bike_id,model,acquired_date
1110,Metro One,2024-03-24
1111,Metro One,2024-03-21
1112,Metro One,2024-03-23
1113,Metro One,2024-03-19
1114,Metro One,2024-03-24
1115,Metro One,2024-03-19
1116,Metro One,2024-03-22
1117,Metro One,2024-03-18
1118,Metro One,2024-03-23
1119,Volt-E,2024-03-19
1120,Metro LS,2024-03-18
1121,Metro One,2024-03-20
1122,Metro One,2024-03-19
1123,Metro One,2024-03-22
1124,Metro One,2024-03-19
1125,Volt-E,2024-03-23
1126,Metro One,2024-03-24
1127,Metro One,2024-03-20
1128,Metro LS,2024-03-24
1129,Metro One,2024-03-24
1130,Metro LS,2024-03-23
1131,Metro One,2024-03-20
1132,Volt-E,2024-03-18
1133,Metro One,2024-03-18
1134,Metro One,2024-03-22
1135,Metro LS,2024-03-22
1136,Metro LS,2024-03-23
1137,Metro One,2024-03-19
1138,Volt-E,2024-03-23
1139,Metro One,2024-03-22
1140,Volt-E,2024-03-23
1141,Metro One,2024-03-18
1142,Metro One,2024-03-18
1143,Metro One,2024-03-19
1144,Metro One,2024-03-22
1145,Metro LS,2024-03-19
1146,Metro One,2024-03-18
1147,Volt-E,2024-03-24
1148,Volt-E,2024-03-21
1149,Metro LS,2024-03-18
1150,Volt-E,2024-03-19
1151,Volt-E,2024-03-19
1152,Metro One,2024-03-23
1153,Metro LS,2024-03-23
1154,Metro LS,2024-03-20
1155,Metro One,2024-03-21
1156,Metro One,2024-03-18
1157,Metro One,2024-03-21
1158,Metro One,2024-03-19
1159,Metro One,2024-03-20
1160,Metro One,2024-03-22
1161,Metro One,2024-08-27
1162,Metro LS,2024-08-25
1163,Metro One,2024-08-22
1164,Volt-E,2024-08-22
1165,Metro One,2024-08-24
1166,Metro One,2024-08-24
1167,Metro One,2024-08-23
1168,Volt-E,2024-08-27
1169,Metro LS,2024-08-24
1170,Metro LS,2024-08-24
1171,Volt-E,2024-08-24
1172,Metro One,2024-08-24
1173,Metro LS,2024-08-25
1174,Volt-E,2024-08-24
1175,Metro LS,2024-08-27
1176,Metro One,2024-08-27
1177,Volt-E,2024-08-23
1178,Metro One,2024-08-22
1179,Metro One,2024-08-24
1180,Metro One,2024-08-23
1181,Metro One,2024-08-23
1182,Metro LS,2024-08-25
1183,Volt-E,2024-08-28
1184,Volt-E,2024-08-22
1185,Metro One,2024-08-27
1186,Metro LS,2024-08-25
1187,Metro One,2024-08-26
1188,Metro One,2024-08-28
1189,Metro LS,2024-08-23
1190,Metro LS,2024-08-26
1191,Metro LS,2024-08-26
1192,Metro One,2024-08-27
1193,Metro One,2024-08-28
1194,Metro One,2024-08-27
1195,Metro One,2024-08-23
1196,Volt-E,2024-08-27
1197,Metro LS,2024-08-27
1198,Metro One,2024-08-27
1199,Metro One,2024-08-23
1200,Metro One,2024-08-25
1201,Volt-E,2025-02-19
1202,Volt-E,2025-02-18
1203,Metro LS,2025-02-20
1204,Metro One,2025-02-16
1205,Metro LS,2025-02-18
1206,Metro LS,2025-02-19
1207,Metro One,2025-02-20
1208,Volt-E,2025-02-20
1209,Metro One,2025-02-15
1210,Metro One,2025-02-15
1211,Metro One,2025-02-16
1212,Metro One,2025-02-16
1213,Volt-E,2025-02-20
1214,Metro One,2025-02-17
1215,Metro One,2025-02-17
1216,Metro One,2025-02-20
1217,Metro One,2025-02-17
1218,Metro One,2025-02-17
1219,Volt-E,2025-02-17
1220,Metro LS,2025-02-18
1221,Metro One,2025-02-14
1222,Metro LS,2025-02-14
1223,Metro One,2025-02-17
1224,Metro One,2025-02-16
1225,Metro LS,2025-02-17
1226,Metro LS,2025-02-14
1227,Metro One,2025-02-20
1228,Metro One,2025-02-17
1229,Metro LS,2025-02-15
1230,Metro LS,2025-02-18
1231,Metro LS,2025-02-20
1232,Volt-E,2025-02-19
1233,Metro One,2025-02-16
1234,Metro One,2025-02-19
1235,Volt-E,2025-02-20
1236,Metro One,2025-02-14
1237,Metro One,2025-02-17
1238,Volt-E,2025-02-17
1239,Metro LS,2025-02-17
1240,Metro LS,2025-02-14
1241,Metro One,2025-02-18
1242,Volt-E,2025-02-19
1243,Metro LS,2025-02-19
1244,Metro One,2025-02-14
1245,Metro LS,2025-02-14
1246,Metro One,2025-02-20
1247,Metro LS,2025-02-17
1248,Volt-E,2025-02-19
1249,Metro One,2025-02-16
1250,Metro LS,2025-02-15
1251,Metro LS,2025-06-06
1252,Metro One,2025-06-08
1253,Metro One,2025-06-05
1254,Metro One,2025-06-08
1255,Metro One,2025-06-05
1256,Metro One,2025-06-05
1257,Metro LS,2025-06-02
1258,Volt-E,2025-06-06
1259,Metro One,2025-06-08
1260,Metro LS,2025-06-03
1261,Metro LS,2025-06-05
1262,Metro LS,2025-06-03
1263,Metro LS,2025-06-03
1264,Metro One,2025-06-05
1265,Volt-E,2025-06-08
1266,Metro One,2025-06-05
1267,Metro One,2025-06-04
1268,Metro One,2025-06-02
1269,Metro LS,2025-06-03
1270,Metro LS,2025-06-07
1271,Metro LS,2025-06-04
1272,Volt-E,2025-06-03
1273,Metro One,2025-06-05
1274,Volt-E,2025-06-08
1275,Metro One,2025-06-03
1276,Metro One,2025-06-02
1277,Metro One,2025-06-03
1278,Metro One,2025-06-03
1279,Metro One,2025-06-06
1280,Volt-E,2025-06-04
1281,Metro LS,2025-06-03
1282,Metro One,2025-06-06
1283,Volt-E,2025-06-08
1284,Metro One,2025-06-07
1285,Metro One,2025-06-07
1286,Metro LS,2025-06-08
1287,Metro One,2025-06-04
1288,Metro One,2025-06-06
1289,Metro One,2025-06-02
1290,Metro One,2025-06-06
1291,Metro LS,2025-10-23
1292,Metro LS,2025-10-25
1293,Metro LS,2025-10-23
1294,Metro LS,2025-10-24
1295,Metro LS,2025-10-21
1296,Metro One,2025-10-26
1297,Metro One,2025-10-26
1298,Metro LS,2025-10-22
1299,Volt-E,2025-10-23
1300,Metro One,2025-10-26
1301,Metro One,2025-10-20
1302,Metro LS,2025-10-25
1303,Metro LS,2025-10-21
1304,Metro LS,2025-10-26
1305,Metro One,2025-10-20
1306,Metro One,2025-10-25
1307,Volt-E,2025-10-25
1308,Metro LS,2025-10-23
1309,Metro One,2025-10-20
1310,Volt-E,2025-10-20
1311,Metro LS,2025-10-26
1312,Metro One,2025-10-24
1313,Metro One,2025-10-26
1314,Metro One,2025-10-26
1315,Metro LS,2025-10-22
1316,Metro One,2025-10-20
1317,Volt-E,2025-10-24
1318,Volt-E,2025-10-26
1319,Metro LS,2025-10-21
1320,Metro LS,2025-10-21
1321,Volt-E,2026-02-15
1322,Volt-E,2026-02-15
1323,Metro One,2026-02-13
1324,Metro LS,2026-02-10
1325,Volt-E,2026-02-11
1326,Metro One,2026-02-10
1327,Metro LS,2026-02-13
1328,Metro One,2026-02-13
1329,Volt-E,2026-02-11
1330,Metro One,2026-02-10
1331,Metro One,2026-02-13
1332,Metro LS,2026-02-10
1333,Metro One,2026-02-15
1334,Metro LS,2026-02-10
1335,Metro One,2026-02-13
1336,Metro One,2026-02-15
1337,Metro One,2026-02-13
1338,Metro One,2026-02-09
1339,Metro One,2026-02-09
1340,Volt-E,2026-02-12
1341,Volt-E,2026-02-15
1342,Metro One,2026-02-09
1343,Metro LS,2026-02-14
1344,Volt-E,2026-02-11
1345,Volt-E,2026-02-09
1346,Metro LS,2026-02-12
1347,Metro LS,2026-02-10
1348,Metro LS,2026-02-15
1349,Metro One,2026-02-12
1350,Metro One,2026-02-10
