trip_id,started_at,ended_at,start_station_name,end_station_name,bike_id,user_type,user_birth_year,price
113181,01/01/2026 18:28,01/01/2026 18:42,Warehouse Row,Sunset Boulevard,1293,member,1992,0.00
113182,01/01/2026 19:01,01/01/2026 19:38,Kayak Launch,Kayak Launch,1119,casual,1998,6.55
113183,01/01/2026 19:20,01/01/2026 19:26,Cedar Park Loop,Central Station,1177,Member,1990,0.00
113184,01/01/2026 19:56,01/01/2026 20:23,Harbor East,Opera House,1264,Casual,1974,5.05
113185,01/01/2026 20:19,01/01/2026 20:36,Central Station,Sunset Boulevard,1009,Member,1984,0.00
113186,01/01/2026 20:57,01/01/2026 21:15,Harbor East,Student Commons,1138,casual,2005,3.85
113187,02/01/2026 05:13,02/01/2026 05:26,Poplar Circle,Old Town Square,1097,member,1996,0.00
113188,02/01/2026 07:13,02/01/2026 07:24,Central Station,Opera House,1070,casual,1990,2.65
113189,02/01/2026 07:18,02/01/2026 07:27,Student Commons,Northgate Transit Hub,1283,member,1995,0.00
113190,02/01/2026 07:41,02/01/2026 07:48,Grand & 9th,Grand & 9th,1252,member,1974,0.00
113191,02/01/2026 08:00,02/01/2026 08:09,Central Station,Science Quad,1228,member,1967,0.00
113192,02/01/2026 09:54,02/01/2026 10:14,Old Town Square,Old Town Square,1112,member,1983,0.00
113193,02/01/2026 09:55,02/01/2026 10:01,Library Mall,Library Mall,1209,member,1985,0.00
113194,02/01/2026 10:06,02/01/2026 10:21,Ferry Landing,Riverside Walk,1023,casual,1997,3.25
113195,02/01/2026 10:25,02/01/2026 10:35,Willow Bend,Science Quad,1190,casual,1980,2.65
113196,02/01/2026 10:27,02/01/2026 10:40,Student Commons,City Hall,1201,member,1991,0.00
113197,02/01/2026 11:19,02/01/2026 11:52,Kayak Launch,Merchant Hall,1111,casual,1982,6.10
113198,02/01/2026 12:57,02/01/2026 13:04,Grand & 3rd,Grand & 9th,1235,member,1985,0.00
113199,02/01/2026 13:46,02/01/2026 13:59,Maple Grove,Opera House,1208,member,,0.00
113200,02/01/2026 14:39,02/01/2026 14:49,Student Commons,Fountain Court,1090,casual,1976,2.65
113201,02/01/2026 14:54,02/01/2026 15:27,Old Town Square,Sunset Boulevard,1093,casual,1983,6.10
113202,02/01/2026 15:11,02/01/2026 15:25,City Hall,Pier 12,1012,member,1966,0.00
113203,02/01/2026 15:30,02/01/2026 15:59,Observatory Hill,Northgate Mall,1300,Casual,2000,5.50
113204,02/01/2026 15:48,02/01/2026 16:04,Central Station,Ferry Landing,1197,Member,1986,0.00
113205,02/01/2026 15:59,02/01/2026 16:03,Student Commons,University Gate ,1092,member,1997,0.00
113206,02/01/2026 16:13,02/01/2026 16:22,Cobbler's Row,Cobbler's Row,1069,member,1962,0.00
113207,02/01/2026 16:26,02/01/2026 16:34,Old Town Square,Kayak Launch,1057,member,1968,0.00
113208,02/01/2026 17:16,02/01/2026 17:31,Clocktower Plaza,Cobbler's Row,1136,member,1984,0.00
113208,02/01/2026 17:16,02/01/2026 17:31,Clocktower Plaza,Cobbler's Row,1136,member,1984,0.00
113209,02/01/2026 17:36,02/01/2026 19:36,Pier 12,Gasometer Park,1216,casual,1979,19.15
113210,02/01/2026 17:47,02/01/2026 18:07,Aurora & 40th,Old Town Square,1130,casual,1979,4.00
113211,02/01/2026 18:22,02/01/2026 18:34,Opera House,OLD TOWN SQUARE,1092,member,1991,0.00
113211,02/01/2026 18:22,02/01/2026 18:34,Opera House,OLD TOWN SQUARE,1092,member,1991,0.00
113212,02/01/2026 18:45,02/01/2026 18:51,Cobbler's Row,Marina Green,1120,casual,2003,2.05
113213,02/01/2026 19:21,02/01/2026 19:33,Harbor East,Guildhall Steps,1038,member,1988,0.00
113214,02/01/2026 21:06,02/01/2026 21:17,City Hall,Pier 12,1207,casual,1968,2.80
113215,02/01/2026 21:16,02/01/2026 21:37,Northgate Transit Hub,Northgate Transit Hub,1169,casual,1981,4.30
113216,02/01/2026 21:17,02/01/2026 22:06,Gasometer Park,Fountain Court,1217,casual,1998,8.35
113217,02/01/2026 22:20,02/01/2026 22:35,Sunset Boulevard,Science Quad,1236,member,1993,0.00
113218,02/01/2026 22:51,02/01/2026 23:01,Exchange Street,Summit Ridge,1079,casual,1973,2.65
113219,03/01/2026 08:31,03/01/2026 09:12,Dockside Market,Ferry Landing,1233,casual,1987,7.30
113220,03/01/2026 09:10,03/01/2026 09:23,Guildhall Steps,Cedar Park Loop,1274,Casual,2006,2.95
113221,03/01/2026 09:45,03/01/2026 09:55,Northgate Mall,Northgate Mall,1132,member,1998,0.00
113222,03/01/2026 09:48,03/01/2026 10:35,Exchange Street,Sunset Boulevard,1038,casual,1988,8.20
113223,03/01/2026 11:02,03/01/2026 11:13,Warehouse Row,Warehouse Row,1248,member,1965,0.00
113224,03/01/2026 11:03,03/01/2026 11:22,heron park,Observatory Hill,1241,casual,1993,3.85
113225,03/01/2026 11:17,03/01/2026 11:35,Athletics Center,Warehouse Row,1223,member,1991,0.00
113226,03/01/2026 11:32,03/01/2026 11:47,Old Town Square,Old Town Square,1070,member,1995,0.00
113227,03/01/2026 11:50,03/01/2026 13:21,Old Town Square,Athletics Center,1093,casual,1994,14.65
113228,03/01/2026 12:03,03/01/2026 12:18,GASOMETER PARK,Merchant Hall,1131,member,1987,0.00
113229,03/01/2026 12:33,03/01/2026 12:46,Central Station,Cobbler's Row,1122,member,1969,0.00
113230,03/01/2026 12:35,03/01/2026 12:46,Harbor East,Riverside Walk,1254,MEMBER,2020,0.00
113231,03/01/2026 12:39,03/01/2026 13:13,Harbor West,City Hall,1093,casual,1991,6.10
113232,03/01/2026 13:03,03/01/2026 13:45,Athletics Center,Westfield Green,1167,casual,1996,7.45
113233,03/01/2026 14:07,03/01/2026 14:27,Pier 12,Rosemont & 5th,1022,member,1996,0.00
113234,03/01/2026 14:46,03/01/2026 14:53,Pier 12,King's Cross Lane,1012,member,1985,0.00
113235,03/01/2026 15:08,03/01/2026 15:26,Athletics Center,Clocktower Plaza,1046,Member,1987,0.00
113236,03/01/2026 15:33,03/01/2026 15:41,University Gate,University Gate,1083,member,1976,0.00
113237,03/01/2026 15:35,03/01/2026 15:46,Old Mill Crossing,Gasometer Park,1248,casual,1992,2.80
113238,03/01/2026 16:16,03/01/2026 16:27,Gasometer Park,Aurora & 40th,1266,member,1977,0.00
113239,03/01/2026 19:33,03/01/2026 20:00,Guildhall Steps,Old Town Square,1233,casual,1997,5.20
113240,03/01/2026 20:28,03/01/2026 20:35,Gasometer Park,Gasometer Park,1307,Casual,1998,2.05
113241,03/01/2026 21:22,03/01/2026 21:34,Merchant Hall,Merchant Hall,1125,member,1985,0.00
113242,04/01/2026 07:10,04/01/2026 07:57,STEELWORKS GATE,Steelworks Gate,1209,casual,1984,8.05
113243,04/01/2026 10:01,04/01/2026 10:50,Westfield Green,Westfield Green,1209,casual,1973,8.35
113244,04/01/2026 10:05,04/01/2026 10:26,Pier 12,Athletics Center,1126,casual,1974,4.15
113245,04/01/2026 10:09,04/01/2026 10:33,Clocktower Plaza,King's Cross Lane,1299,member,1996,0.00
113246,04/01/2026 11:13,04/01/2026 11:25,Student Commons,Old Mill Crossing,1204,member,1964,0.00
113247,04/01/2026 12:41,04/01/2026 12:49,Cedar Park Loop,Observatory Hill,1252,member,1992,0.00
113248,04/01/2026 12:47,04/01/2026 15:22,Cedar Park Loop,Grand & 3rd,1132,casual,1988,24.25
113249,04/01/2026 12:51,04/01/2026 12:56,Seawall Promenade,Old Town Square,1216,member,1985,0.00
113250,04/01/2026 13:38,04/01/2026 13:50,City Hall,City Hall,1044,member,1987,0.00
113251,04/01/2026 13:53,04/01/2026 14:32,Gasometer Park,Aurora & 40th,1192,Casual,1971,6.85
113252,04/01/2026 14:58,04/01/2026 15:05,City Hall,City Hall,1141,member,1980,0.00
113253,04/01/2026 15:33,04/01/2026 15:37,Old Town Square,Old Town Square,1012,member,1985,0.00
113254,04/01/2026 16:20,04/01/2026 16:32,Opera House,aurora & 22nd,1190,casual,1980,2.95
113255,04/01/2026 18:53,04/01/2026 18:57,Marina Green,Marina Green,1206,casual,1985,1.60
113256,04/01/2026 19:35,04/01/2026 20:02,Westfield Green,Opera House,1012,Casual,1961,5.05
113257,04/01/2026 22:20,04/01/2026 22:46, Old Town Square,Old Town Square,1201,casual,1996,5.05
113258,05/01/2026 05:35,05/01/2026 06:06,Grand & 3rd,City Hall,1171,Member,1978,0.00
113259,05/01/2026 06:33,05/01/2026 06:53,Old Mill Crossing,OLD MILL CROSSING,1264,member,1981,0.00
113259,05/01/2026 06:33,05/01/2026 06:53,Old Mill Crossing,OLD MILL CROSSING,1264,member,1981,0.00
113260,05/01/2026 07:05,05/01/2026 07:28,Riverside Walk,Kayak Launch,1206,member,1972,0.00
113261,05/01/2026 07:06,05/01/2026 07:35,Harbor East,Old Town Square,1112,casual,1986,5.35
113262,05/01/2026 07:17,05/01/2026 07:24,Student Commons,Seawall Promenade,1063,member,2020,0.00
113263,05/01/2026 07:36,05/01/2026 08:04,Athletics Center,Athletics Center,1051,member,1969,0.00
113264,05/01/2026 08:17,05/01/2026 08:27,Student Commons,City Hall,1249,member,1986,0.00
113265,05/01/2026 08:25,05/01/2026 08:52,Aurora & 22nd ,Gasometer Park,1161,Member,1989,0.00
113266,05/01/2026 08:46,05/01/2026 09:04,Athletics Center,Riverside Walk,1208,member,1994,0.00
113267,05/01/2026 08:51,05/01/2026 09:04,Seawall Promenade,Pier 12,1034,member,1964,0.00
113268,05/01/2026 09:10,05/01/2026 09:17,Kayak Launch,Kayak Launch,1043,member,1988,0.00
113269,05/01/2026 09:22,05/01/2026 09:37,Seawall Promenade,Seawall Promenade,1297,member,1993,0.00
113270,05/01/2026 10:28,05/01/2026 10:33,Steelworks Gate,Steelworks Gate,1016,casual,1991,1.90
113271,05/01/2026 11:15,05/01/2026 11:22,Gasometer Park,Gasometer Park,1023,Casual,1995,2.20
113272,05/01/2026 13:20,05/01/2026 13:29,University Gate,Maple Grove,1238,member,2001,0.00
113273,05/01/2026 13:27,05/01/2026 13:51,Westfield Green,Sunset Boulevard,1252,member,1987,0.00
113274,05/01/2026 13:55,05/01/2026 14:07,Student Commons,King's Cross Lane,1274,casual,1971,2.95
113275,05/01/2026 14:17,05/01/2026 14:29,Sunset Boulevard,Harbor East,1077,member,1998,0.00
113276,05/01/2026 15:07,05/01/2026 15:18,Science Quad,Aurora & 22nd,1175,member,1987,0.00
113277,05/01/2026 16:54,05/01/2026 17:02,Gasometer Park,Gasometer Park,1208,member,1976,0.00
113278,05/01/2026 17:17,05/01/2026 17:29,Old Town Square,Gasometer Park,1126,member,1988,0.00
113279,05/01/2026 17:36,05/01/2026 17:48,Observatory Hill,Riverside Walk,1061,casual,1979,2.95
113280,05/01/2026 17:37,05/01/2026 17:59,Gasometer Park,Gasometer Park,1079,casual,2001,4.30
113281,05/01/2026 17:41,05/01/2026 17:50,University Gate,Northgate Transit Hub,1162,casual,1977,2.35
113282,05/01/2026 17:45,05/01/2026 17:50,Old Town Square,Kayak Launch,1185,member,1981,0.00
113283,05/01/2026 17:52,05/01/2026 18:33,Central Station,University Gate,1206,casual,1987,7.30
113284,05/01/2026 17:53,05/01/2026 18:25,HARBOR WEST,Merchant Hall,1030,Casual,1987,5.80
113285,05/01/2026 18:21,05/01/2026 18:50,Kayak Launch,King's Cross Lane,1125,Member,1983,0.00
113286,05/01/2026 18:55,05/01/2026 19:10,Central Station,Cobbler's Row,1184,member,1971,0.00
113287,05/01/2026 19:38,05/01/2026 20:53,Sunset Boulevard,University Gate,1201,casual,1986,12.25
113288,06/01/2026 00:14,06/01/2026 00:24,Riverside Walk,Exchange Street,1231,member,2002,0.00
113289,06/01/2026 07:08,06/01/2026 07:22,King's Cross Lane,King's Cross Lane,1023,member,1978,0.00
113290,06/01/2026 07:52,06/01/2026 08:20,University Gate,Central Station,1225,casual,1993,5.20
113291,06/01/2026 07:58,06/01/2026 08:18,Riverside Walk,Exchange Street,1095,member,1971,0.00
113292,06/01/2026 09:50,06/01/2026 09:54,Weaver Street,observatory hill,1074,Member,1992,0.00
113293,06/01/2026 11:58,06/01/2026 12:10,gasometer park,Kayak Launch,1131,member,2000,0.00
113294,06/01/2026 12:32,06/01/2026 12:47,Sunset Boulevard,Grand & 9th,1171,member,1992,0.00
113295,06/01/2026 15:18,06/01/2026 15:51,Opera House,Botanic Gardens,1011,Casual,1984,5.95
113296,06/01/2026 15:43,06/01/2026 16:12,Harbor West,Harbor West,1029,member,1982,0.00
113297,06/01/2026 17:43,06/01/2026 18:21,Grand & 3rd,Harbor East,1009,casual,1989,6.70
113298,06/01/2026 17:55,06/01/2026 18:03,Lighthouse Point,Orchard Lane,1300,Casual,1994,2.35
113299,06/01/2026 18:17,06/01/2026 18:38,Athletics Center,Steelworks Gate,1006,member,1989,0.00
113300,06/01/2026 18:19,06/01/2026 18:57,Lighthouse Point,Gasometer Park,1308,casual,1980,6.70
113301,06/01/2026 19:04,06/01/2026 19:47,Athletics Center,Steelworks Gate,1213,member,1989,0.00
113302,06/01/2026 20:43,06/01/2026 20:59,Kayak Launch,Guildhall Steps,1001,casual,1966,3.55
113303,06/01/2026 21:37,06/01/2026 21:41,Pier 12 ,Kayak Launch,1102,member,1987,0.00
113304,06/01/2026 22:05,06/01/2026 22:12,aurora & 22nd,Riverside Walk,1006,member,1982,0.00
113305,07/01/2026 06:47,07/01/2026 06:52,Lighthouse Point,Gasometer Park,1233,member,1973,0.00
113306,07/01/2026 07:09,07/01/2026 07:32,Seawall Promenade,Student Commons,1091,member,1981,0.00
113307,07/01/2026 07:22,07/01/2026 07:38,University Gate,Central Station,1269,member,1900,0.00
113308,07/01/2026 07:42,07/01/2026 08:00,Dockside Market,Willow Bend,1196,casual,1999,3.70
113309,07/01/2026 08:54,07/01/2026 09:01,Old Mill Crossing,Central Station,1023,member,1989,0.00
113310,07/01/2026 09:53,07/01/2026 10:23,Athletics Center ,Student Commons,1160,casual,1991,5.50
113311,07/01/2026 12:01,07/01/2026 12:13,Sunset Boulevard,Old Town Square,1242,Casual,1975,2.95
113312,07/01/2026 12:15,07/01/2026 12:38,Student Commons,Campus North,1158,member,1972,0.00
113313,07/01/2026 12:27,07/01/2026 12:33,Clocktower Plaza,Westfield Green ,1228,member,1988,0.00
113314,07/01/2026 14:55,07/01/2026 16:09,Floodgate Road,Old Town Square,1042,casual,1990,12.25
113315,07/01/2026 15:35,07/01/2026 15:44,Harbor East,Gasometer Park,1206,member,1995,0.00
113316,07/01/2026 16:01,07/01/2026 16:40,Gasometer Park,Cedar Park Loop,1154,casual,1996,6.85
113317,07/01/2026 16:21,07/01/2026 16:25,Athletics Center,Merchant Hall,1217,MEMBER,2001,0.00
113318,07/01/2026 16:40,07/01/2026 16:47,Clocktower Plaza,Clocktower Plaza,1153,member,1982,0.00
113319,07/01/2026 17:39,07/01/2026 17:47,Sunset Boulevard,Sunset Boulevard,1233,MEMBER,1978,0.00
113320,07/01/2026 18:05,07/01/2026 18:18,University Gate,Student Commons,1289,member,1998,0.00
113321,07/01/2026 18:10,07/01/2026 18:15,Lighthouse Point,Lighthouse Point,1192,member,1992,0.00
113322,07/01/2026 18:36,07/01/2026 18:45,Science Quad,Old Town Square,1276,member,1973,0.00
113323,07/01/2026 18:40,07/01/2026 18:52,Student Commons,Dockside Market,1268,casual,1987,2.80
113324,07/01/2026 18:48,07/01/2026 19:25,Riverside Walk,Merchant Hall,1240,member,1971,0.00
113325,07/01/2026 19:01,07/01/2026 19:18,Ferry Landing,Guildhall Steps,1175,member,1979,0.00
113326,07/01/2026 19:11,07/01/2026 19:16,Athletics Center,Poplar Circle,1180,member,1987,0.00
113327,07/01/2026 19:28,07/01/2026 18:07,Old Town Square,City Hall,1068,member,1980,0.00
113328,07/01/2026 19:45,07/01/2026 19:51,Marina Green,Merchant Hall,1063,member,1996,0.00
113329,07/01/2026 21:02,07/01/2026 21:42,Warehouse Row,Warehouse Row,1222,casual,1968,7.00
113330,07/01/2026 23:36,07/01/2026 23:58,Gasometer Park,Gasometer Park,1147,member,1992,0.00
113331,08/01/2026 01:16,08/01/2026 01:30,Harbor West,Harbor West,1082,member,1978,0.00
113332,08/01/2026 06:06,08/01/2026 06:16,Steelworks Gate,Floodgate Road,1175,member,1990,0.00
113333,08/01/2026 06:07,08/01/2026 06:27,Dockside Market,Pier 12,1242,member,1989,0.00
113334,08/01/2026 07:07,08/01/2026 07:19,Heron Park,Sunset Boulevard,1265,member,1987,0.00
113335,08/01/2026 07:10,08/01/2026 07:29,Athletics Center,Athletics Center,1144,casual,1983,4.00
113336,08/01/2026 08:29,08/01/2026 08:37,Summit Ridge, Summit Ridge,1035,member,1985,0.00
113337,08/01/2026 09:02,08/01/2026 09:14,Athletics Center,Summit Ridge,1190,member,2002,0.00
113338,08/01/2026 09:38,08/01/2026 09:51,Central Station,Central Station,1045,casual,1974,2.95
113339,08/01/2026 09:49,08/01/2026 10:03,Aurora & 22nd,Kayak Launch,1272,Member,1995,0.00
113340,08/01/2026 12:10,08/01/2026 12:39,Grand & 3rd,Grand & 3rd,1274,Casual,1991,5.35
113341,08/01/2026 12:24,08/01/2026 13:02,Central Station,Athletics Center,1314,casual,1990,6.70
113342,08/01/2026 12:33,08/01/2026 12:40,Gasometer Park,Old Town Square,1086,member,2000,0.00
113343,08/01/2026 14:15,08/01/2026 14:46,Warehouse Row,Old Town Square,1112,member,1974,0.00
113344,08/01/2026 14:24,08/01/2026 14:33,Steelworks Gate,Steelworks Gate,1048,casual,1986,2.35
113345,08/01/2026 14:37,08/01/2026 14:57,Willow Bend,Willow Bend,1201,member,2001,0.00
113346,08/01/2026 15:02,08/01/2026 15:09,Poplar Circle,Poplar Circle,1009,member,1986,0.00
113347,08/01/2026 15:14,08/01/2026 15:31,Cedar Park Loop,Central Station,1142,casual,1992,3.70
113348,08/01/2026 15:16,08/01/2026 15:24,Botanic Gardens,Botanic Gardens,1128,member,1971,0.00
113349,08/01/2026 15:25,08/01/2026 15:36,Old Town Square,Warehouse Row,1024,Member,1980,0.00
113350,08/01/2026 16:12,08/01/2026 16:52,Riverside Walk,Athletics Center,1260,casual,1974,7.15
113351,08/01/2026 16:22,08/01/2026 16:33,OPERA HOUSE,Old Town Square,1260,member,2002,0.00
113352,08/01/2026 16:34,08/01/2026 16:51,Campus North,Rosemont & 5th,1215,member,1997,0.00
113353,08/01/2026 16:40,08/01/2026 16:47,Kayak Launch,Kayak Launch,1038,member,1994,0.00
113354,08/01/2026 17:05,08/01/2026 17:08,Harbor East,Central Station,1084,member,1994,0.00
113355,08/01/2026 17:50,08/01/2026 18:06,Opera House,Old Mill Crossing,1083,MEMBER,1985,0.00
113356,08/01/2026 17:59,08/01/2026 18:18,Guildhall Steps,Guildhall Steps,1153,member,1997,0.00
113357,08/01/2026 18:03,08/01/2026 18:23,Steelworks Gate,Steelworks Gate,1201,member,1977,0.00
113358,08/01/2026 18:37,08/01/2026 19:13,Pier 12,Kayak Launch,1233,casual,1990,6.40
113359,08/01/2026 18:47,08/01/2026 19:08,Poplar Circle,Harbor East,1013,member,1968,0.00
113359,08/01/2026 18:47,08/01/2026 19:08,Poplar Circle,Harbor East,1013,member,1968,0.00
113360,08/01/2026 18:51,08/01/2026 19:25,Gasometer Park,Gasometer Park,1315,Casual,1986,6.10
113361,08/01/2026 19:52,08/01/2026 20:48,Observatory Hill,Willow Bend,1130,casual,1985,9.55
113362,08/01/2026 20:47,08/01/2026 20:55,Old Town Square,Union Plaza,1319,Member,1988,0.00
113363,08/01/2026 20:55,08/01/2026 22:19,Kayak Launch,Steelworks Gate,1168,casual,1986,13.75
113364,08/01/2026 21:50,08/01/2026 22:09,Sunset Boulevard,Observatory Hill,1208,member,1973,0.00
113365,09/01/2026 01:18,09/01/2026 01:39,Central Station,Old Town Square,1128,member,1975,0.00
113366,09/01/2026 06:13,09/01/2026 06:33,Central Station,Central Station,1234,casual,1986,4.00
113367,09/01/2026 07:08,09/01/2026 07:22,Opera House,Opera House,1302,member,1974,0.00
113368,09/01/2026 07:21,09/01/2026 07:33,Birchwood Terrace,Riverside Walk,1161,member,1989,0.00
113369,09/01/2026 07:27,09/01/2026 07:54,Gasometer Park,Kayak Launch,1160,member,1962,0.00
113370,09/01/2026 07:30,09/01/2026 07:43,Campus North,Campus North,1216,member,1974,0.00
113371,09/01/2026 07:52,09/01/2026 07:56,Old Town Square,Old Mill Crossing,1064,member,1994,0.00
113372,09/01/2026 07:53,09/01/2026 08:03,Westfield Green,Central Station,1311,MEMBER,1976,0.00
113373,09/01/2026 07:57,09/01/2026 08:12,Central Station,Athletics Center,1079,member,1992,0.00
113374,09/01/2026 08:08,09/01/2026 08:13,Warehouse Row,Old Town Square,1046,member,1998,0.00
113375,09/01/2026 08:47,09/01/2026 09:26,Merchant Hall,Central Station,1184,casual,1987,6.85
113376,09/01/2026 08:51,09/01/2026 09:13,Athletics Center,Northgate Mall,1239,Member,1981,0.00
113377,09/01/2026 11:04,09/01/2026 11:36,Poplar Circle,Poplar Circle,1024,casual,1971,5.80
113378,09/01/2026 11:13,09/01/2026 11:33,Botanic Gardens,Athletics Center,1201,member,1990,0.00
113379,09/01/2026 11:38,09/01/2026 12:09,Dockside Market,Sunset Boulevard,1103,casual,2002,5.80
113380,09/01/2026 13:27,09/01/2026 13:47,Aurora & 22nd,Kayak Launch,1222,MEMBER,1986,0.00
113381,09/01/2026 13:44,09/01/2026 13:49,Gasometer Park,Old Town Square,1158,casual,1990,1.75
113382,09/01/2026 14:40,09/01/2026 15:15,Cedar Park Loop,Central Station,1208,casual,1976,6.40
113383,09/01/2026 16:19,09/01/2026 16:34,Tramline Depot,Opera House,1289,casual,1987,3.40
113384,09/01/2026 16:20,09/01/2026 16:24,Old Town Square,Old Town Square,1006,member,1980,0.00
113385,09/01/2026 16:30,09/01/2026 16:35,Floodgate Road,Floodgate Road,1228,member,1997,0.00
113386,09/01/2026 16:55,09/01/2026 17:00,Opera House,Central Station,1005,member,1982,0.00
113387,09/01/2026 17:23,09/01/2026 17:51,Old Town Square,Old Town Square,1052,casual,1992,5.20
113388,09/01/2026 17:48,09/01/2026 17:54,Seawall Promenade,Seawall Promenade,1162,member,1992,0.00
113389,09/01/2026 17:49,09/01/2026 18:12,Grand & 9th,Grand & 9th,1209,Casual,1987,4.45
113390,09/01/2026 18:14,09/01/2026 18:24,Old Town Square,Central Station,1297,member,1999,0.00
113391,09/01/2026 18:29,09/01/2026 19:17,Old Town Square ,Old Town Square,1103,member,1974,0.30
113392,09/01/2026 18:53,09/01/2026 19:06,Athletics Center,Athletics Center,1165,member,1972,0.00
113393,09/01/2026 19:00,09/01/2026 19:14,Old Mill Crossing,Willow Bend,1141,member,2001,0.00
113394,09/01/2026 21:42,09/01/2026 22:09,Pier 12,Harbor East,1208,member,1988,0.00
113395,10/01/2026 08:12,10/01/2026 08:39,Old Mill Crossing,Old Town Square,1317,Casual,1988,5.05
113396,10/01/2026 09:31,10/01/2026 10:00,Clocktower Plaza,Central Station,1269,member,1994,0.00
113397,10/01/2026 09:39,10/01/2026 09:46,Athletics Center,Aurora & 40th,1074,member,1983,0.00
113398,10/01/2026 10:37,10/01/2026 10:44,Westfield Green,Grand & 3rd ,1175,member,1984,0.00
113399,10/01/2026 11:12,10/01/2026 12:52,Gasometer Park,Old Town Square,1044,casual,1972,16.15
113400,10/01/2026 11:32,10/01/2026 11:51,Pier 12,Maple Grove,1202,casual,1989,4.00
113401,10/01/2026 11:37,10/01/2026 12:28,Dockside Market,Dockside Market,1164,casual,1999,8.80
113402,10/01/2026 11:58,10/01/2026 12:28,University Gate,Aurora & 40th,1025,casual,1983,5.50
113403,10/01/2026 12:06,10/01/2026 12:43,Cedar Park Loop,Central Station,1320,member,1983,0.00
113404,10/01/2026 12:30,10/01/2026 12:46,Athletics Center,Student Commons,1035,member,1986,0.00
113405,10/01/2026 13:03,10/01/2026 13:18,Student Commons,Gasometer Park,1057,member,1988,0.00
113406,10/01/2026 13:15,10/01/2026 13:41,Old Town Square,Grand & 3rd,1233,casual,1986,4.90
113407,10/01/2026 15:16,10/01/2026 15:32,Cathedral Gate,heron park,1106,member,1983,0.00
113408,10/01/2026 16:05,10/01/2026 16:25,Kayak Launch,Old Mill Crossing,1244,casual,1991,4.15
113409,10/01/2026 16:36,10/01/2026 17:13,Poplar Circle,City Hall,1302,casual,1970,6.55
113410,10/01/2026 16:38,10/01/2026 17:08,Exchange Street,Kayak Launch,1192,member,1990,0.00
113411,10/01/2026 16:40,10/01/2026 16:58,Merchant Hall,Harbor West,1283,casual,2002,3.70
113412,10/01/2026 18:01,10/01/2026 18:18,Cathedral Gate,Foundry District,1236,Casual,1992,3.70
113413,10/01/2026 22:33,10/01/2026 23:12,Exchange Street,Exchange Street,1058,casual,1994,7.00
113414,11/01/2026 03:09,11/01/2026 03:39,Kayak Launch,King's Cross Lane,1281,casual,1991,5.65
113415,11/01/2026 06:54,11/01/2026 07:02,University Gate,Botanic Gardens,1162,casual,1989,2.35
113416,11/01/2026 07:13,11/01/2026 08:02,Old Town Square,Gasometer Park,1225,casual,,8.50
113417,11/01/2026 07:33,11/01/2026 08:16,Ferry Meadow,Ferry Meadow,1128,casual,1979,7.45
113418,11/01/2026 10:00,11/01/2026 10:15,Cobbler's Row,Merchant Hall,1256,member,1997,0.00
113419,11/01/2026 10:12,11/01/2026 10:19,Gasometer Park,Student Commons,1173,member,1974,0.00
113420,11/01/2026 10:32,11/01/2026 10:47,Pier 12,Grand & 9th,1157,member,1997,
