route R-1: GINGER-FALLS => GLACIER-CROSSING | distance 71 | toll 5
route R-57: SANTAS-WORKSHOP => SLEIGH-YARD | distance 35 | toll 2
route R-58: TOFFEE-VALLEY => FROST-CROSSING | distance 72 | toll 7
route R-59: NORTH-POLE => GARLAND-VALLEY | distance 11 | toll 4
route R-60: FROST-YARD => GARLAND-VALLEY | distance 75 | toll 3
route R-61: SNOWY-RIDGE => STARLIT-RIDGE | distance 45 | toll 8
route R-62: WINTER-RIDGE => SLEIGH-YARD | distance 6 | toll 7
route R-63: STARLIT-MEADOW => GLACIER-JUNCTION | distance 17 | toll 3
route R-64: EGGNOG-JUNCTION => NORTH-POLE | distance 59 | toll 3
route R-65: SNOWY-RIDGE => SLEIGH-YARD | distance 77 | toll 2
route R-66: SLEIGH-YARD => TOFFEE-CROSSING | distance 12 | toll 1
route R-67: PINE-JUNCTION => TOFFEE-JUNCTION | distance 75 | toll 5
route R-68: TOFFEE-JUNCTION => FROST-YARD | distance 78 | toll 5
route R-69: MISTLE-JUNCTION => PINE-YARD | distance 21 | toll 6
route R-70: EGGNOG-JUNCTION => FROST-YARD | distance 91 | toll 1
route R-71: SNOWY-RIDGE => MISTLE-JUNCTION | distance 42 | toll 8
route R-72: FROST-YARD => PINE-JUNCTION | distance 62 | toll 1
route R-73: NUTMEG-VALLEY => PINE-YARD | distance 60 | toll 6
route R-74: CAROL-CROSSING => GLACIER-JUNCTION | distance 27 | toll 1
route R-75: FROST-YARD => TOFFEE-JUNCTION | distance 85 | toll 1
route R-76: JINGLE-CROSSING => GINGER-FALLS | distance 55 | toll 4
route R-77: NORTH-POLE => STARLIT-MEADOW | distance 87 | toll 7
route R-78: NUTMEG-VALLEY => TINSEL-RIDGE | distance 25 | toll 2
route R-79: GLACIER-JUNCTION => TOFFEE-CROSSING | distance 12 | toll 3
route R-80: PINE-VALLEY => TOFFEE-JUNCTION | distance 81 | toll 4
route R-81: CAROL-CROSSING => PINE-JUNCTION | distance 81 | toll 6
route R-82: SANTAS-WORKSHOP => PINE-YARD | distance 55 | toll 2
route R-83: FROST-YARD => PINE-VALLEY | distance 67 | toll 2
route R-84: SLEIGH-YARD => NUTMEG-VALLEY | distance 43 | toll 9
route R-85: PINE-JUNCTION => SLEIGH-VALLEY | distance 25 | toll 8
route R-86: TINSEL-RIDGE => SLEIGH-CROSSING | distance 93 | toll 2
route R-87: SUGAR-HOLLOW => MISTLE-JUNCTION | distance 85 | toll 3
route R-88: NORTH-POLE => SLEIGH-VALLEY | distance 38 | toll 7
route R-89: SUGAR-HOLLOW => SLEIGH-YARD | distance 62 | toll 2
route R-90: STARLIT-VALLEY => GLACIER-CROSSING | distance 76 | toll 8
route R-91: SLEIGH-YARD => TINSEL-RIDGE | distance 99 | toll 9
route R-92: NUTMEG-VALLEY => SLEIGH-CROSSING | distance 20 | toll 3
route R-93: TINSEL-RIDGE => GARLAND-VALLEY | distance 48 | toll 9
route R-94: TOFFEE-JUNCTION => EGGNOG-JUNCTION | distance 23 | toll 1
route R-95: MISTLE-JUNCTION => SLEIGH-PEAK | distance 65 | toll 6
route R-96: PINE-YARD => JINGLE-CROSSING | distance 6 | toll 3
route R-97: SUGAR-HOLLOW => TOFFEE-CROSSING | distance 13 | toll 2
route R-98: EGGNOG-JUNCTION => MISTLE-JUNCTION | distance 6 | toll 5
route R-99: SUGAR-HOLLOW => PINE-YARD | distance 9 | toll 2
route R-100: TOFFEE-CROSSING => SLEIGH-VALLEY | distance 13 | toll 3
route R-101: FROST-CROSSING => SLEIGH-YARD | distance 57 | toll 9
route R-102: SANTAS-WORKSHOP => WINTER-RIDGE | distance 98 | toll 7
route R-103: TOFFEE-VALLEY => JINGLE-CROSSING | distance 70 | toll 5
route R-104: GARLAND-VALLEY => JINGLE-CROSSING | distance 76 | toll 3
route R-105: STARLIT-MEADOW => TOFFEE-JUNCTION | distance 72 | toll 2
route R-106: GINGER-FALLS => NORTH-POLE | distance 87 | toll 1
route R-107: SNOWY-RIDGE => FROST-CROSSING | distance 54 | toll 7
route R-108: SANTAS-WORKSHOP => GLACIER-CROSSING | distance 62 | toll 3
route R-109: TOFFEE-VALLEY => EGGNOG-JUNCTION | distance 68 | toll 6
route R-110: JINGLE-CROSSING => SNOWY-RIDGE | distance 10 | toll 3
route R-111: TOFFEE-CROSSING => PINE-YARD | distance 8 | toll 3
route R-112: NUTMEG-VALLEY => GLACIER-JUNCTION | distance 12 | toll 8
route R-113: GLACIER-JUNCTION => GINGER-FALLS | distance 98 | toll 3
route R-114: SLEIGH-CROSSING => STARLIT-VALLEY | distance 97 | toll 4
route R-115: PINE-VALLEY => GARLAND-VALLEY | distance 94 | toll 2
route R-116: NORTH-POLE => PINE-JUNCTION | distance 46 | toll 8
route R-117: TOFFEE-CROSSING => PINE-VALLEY | distance 58 | toll 8
route R-118: EGGNOG-JUNCTION => SNOWY-RIDGE | distance 23 | toll 5
route R-119: SUGAR-HOLLOW => GLACIER-CROSSING | distance 61 | toll 2
route R-120: GINGER-FALLS => SLEIGH-CROSSING | distance 86 | toll 7
route R-121: SLEIGH-YARD => SANTAS-WORKSHOP | distance 12 | toll 8
route R-122: CAROL-CROSSING => GLACIER-CROSSING | distance 73 | toll 3
route R-123: SUGAR-HOLLOW => STARLIT-MEADOW | distance 59 | toll 4
route R-124: PINE-JUNCTION => SNOWY-RIDGE | distance 73 | toll 6
route R-125: NORTH-POLE => MISTLE-JUNCTION | distance 89 | toll 8
route R-126: TOFFEE-VALLEY => PINE-JUNCTION | distance 27 | toll 8
route R-127: TOFFEE-CROSSING => SLEIGH-PEAK | distance 99 | toll 5
route R-128: SLEIGH-VALLEY => CAROL-CROSSING | distance 93 | toll 9
route R-129: SLEIGH-PEAK => SLEIGH-CROSSING | distance 25 | toll 7
route R-130: PINE-VALLEY => CAROL-CROSSING | distance 13 | toll 5
